stress_level,sleep_hours,daily_steps,water_intake,hrv,age,bmi,synthetic_risk
2,4.931248795713108,5899,3.3876409045809184,57,69,27.946142871868844,0.4875207269816057
4,7.735638567389301,13697,1.779390374128356,83,51,22.31894566646589,0.09980467606182315
9,6.863898207245235,7454,2.229406387496395,70,67,31.821033852022993,0.7974552469031068
9,4.58777161327527,2781,2.7477386690104746,80,72,19.48114325553221,0.700687121968609
3,6.065386018684416,4169,3.7963450703065176,30,27,32.391326713078456,0.6993117898644629
5,8.001492762455594,2278,2.1265241242607775,45,30,20.08075951329673,0.4636050993749873
6,6.958556593368801,14283,0.5512257803173397,55,58,23.6037634922942,0.2234989655551638
5,5.670403507740176,11379,3.7610980559499936,93,66,18.519846493041754,0.35658043755587093
2,6.799313045234447,5323,2.7940658355253283,55,53,22.658689000285005,0.264622342347047
8,8.790419107617112,8323,0.7600369939699303,98,49,20.37432983619087,0.396558963822648
4,9.538090317522583,10900,1.5408408423850541,54,64,19.386708050298324,0.20701123001599198
8,9.209640958368581,11047,1.633834783385716,98,33,26.888343884608567,0.4388703170877717
2,4.132919266900694,2638,1.9427600963609866,88,67,31.569035490441372,0.7169544404082754
2,9.226880537814171,9908,3.6192013139177455,51,52,32.34665909821597,0.4463435642433354
1,8.191845533303237,3010,1.2853653141055943,85,57,23.76228864117667,0.2906228453092815
7,9.777277047231651,10671,0.6629334908505986,66,22,24.786343438721975,0.32178986430033857
5,9.851231885804854,14853,3.0984521159892178,37,42,21.366792104196367,0.0683827120773656
8,7.712701095321157,13289,2.0417317930362486,75,59,26.588313273944543,0.4099881604253477
3,5.247118946032598,11414,1.2546832188876624,74,56,33.20714009130928,0.5735704532120208
1,7.901520082010704,8543,1.0427450034307328,71,38,21.933419850396234,0.10245266195848371
9,7.024250374794363,1295,1.3658554617295326,72,52,32.93062994029425,0.9826481659697357
9,9.018991957391092,11674,1.050013044803072,25,23,20.588608301181402,0.3385341676467242
5,6.2428793408806325,6072,1.5431002310520434,79,75,28.079393749642254,0.5652236487025102
8,8.196597188317178,2153,3.647621451687221,85,61,25.384236782204013,0.6237693929730045
6,7.877668297471268,9415,1.4649782296355913,40,72,21.708681049701088,0.27135502565496766
5,6.954229602319907,3558,2.8861088854853976,75,56,30.239935774497646,0.6871091346421315
2,4.522754164612497,10680,1.7792368053419132,58,43,21.8841470517157,0.17049915004494073
1,5.883468583152922,1779,0.5302091969434635,79,25,23.26772253743195,0.35823076665638254
6,9.287695029975545,2468,3.9283634535795278,41,31,32.96357334491183,0.7920421335997724
4,8.077232215435565,2659,3.3371905206594765,43,33,18.12097705504093,0.48735969460682055
4,8.002355911233352,2405,3.0506729207289713,70,28,19.631479725806926,0.4405511247016123
7,9.677529447580412,5008,3.2201150429155927,72,54,34.90711041274015,0.8279415513559839
3,7.2395329938406885,14662,3.632902195703217,42,21,26.012590883039838,0.1861189760937765
6,4.906363203793487,2011,3.6699622110641137,99,26,34.62280744622484,0.9691183404745435
1,5.938109448421584,3717,1.5685442277391661,50,34,29.13444863668945,0.5227465326954707
6,4.211873624224755,6007,2.8675445489741613,42,32,26.471394192753618,0.59383755933438
2,5.694233465081976,1386,1.2561010013312424,99,62,25.25142593424946,0.480462504120778
3,7.974707255316412,2772,1.9894258651440786,52,79,29.00661803043645,0.5642330063015342
2,8.907980467186981,14096,3.7706116482978658,94,72,23.677844868327398,0.03858977109832658
2,7.0397178732721075,12779,3.205789446604454,26,38,32.38051915196037,0.4310446960433672
4,7.11710022391476,3561,3.81110272028763,27,30,28.571326562349128,0.5863620210402686
9,5.7946033996634,8536,2.9301579957403163,40,42,30.213813120780394,0.7388855872386653
